Soort zuivelproduct,Vervaardigd product,Jaar,Maand,Hoeveelheid  product
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Juni 2022,11397978.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Juli 2022,10848211.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Augustus 2022,11915611.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,September 2022,10141358.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Oktober 2022,7273665.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,November 2022,7479497.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,December 2022,7338238.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2023,Januari 2023,
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Januari 2022,6447503.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Februari 2022,6005824.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Maart 2022,6536421.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,April 2022,6231141.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Mei 2022,6257940.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Juni 2022,6183756.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Juli 2022,6148877.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Augustus 2022,5978881.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,September 2022,5117646.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,Oktober 2022,5505460.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,November 2022,5047571.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2022,December 2022,6072748.0
Boter (in kg),Melkerijboter (melkvet: 80-89 %),2023,Januari 2023,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Januari 2022,1329388.0
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Februari 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Maart 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,April 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Mei 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Juni 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Juli 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Augustus 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,September 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,Oktober 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,November 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2022,December 2022,
Boter (in kg),Herwerkte boter (melkvet: 80-89 %),2023,Januari 2023,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Januari 2022,
