Gebruikt product,Jaar,Maand,Hoeveelheid  product (BE)
Gecondenseerde melk (gesuikerd),2022,December 2022,
Weiroom/ingedikte wei,2021,December 2021,
Weiroom/ingedikte wei,2022,Januari 2022,
Weiroom/ingedikte wei,2022,Februari 2022,
Weiroom/ingedikte wei,2022,Maart 2022,
Weiroom/ingedikte wei,2022,April 2022,
Weiroom/ingedikte wei,2022,Mei 2022,
Weiroom/ingedikte wei,2022,Juni 2022,
Weiroom/ingedikte wei,2022,Juli 2022,
Weiroom/ingedikte wei,2022,Augustus 2022,
Weiroom/ingedikte wei,2022,September 2022,
Weiroom/ingedikte wei,2022,Oktober 2022,
Weiroom/ingedikte wei,2022,November 2022,
Weiroom/ingedikte wei,2022,December 2022,
Wrongel,2021,December 2021,
Wrongel,2022,Januari 2022,
Wrongel,2022,Februari 2022,
Wrongel,2022,Maart 2022,
Wrongel,2022,April 2022,
Wrongel,2022,Mei 2022,
Wrongel,2022,Juni 2022,
Wrongel,2022,Juli 2022,
Wrongel,2022,Augustus 2022,
Wrongel,2022,September 2022,
Wrongel,2022,Oktober 2022,
Wrongel,2022,November 2022,
Wrongel,2022,December 2022,
Verwerkingskaas,2021,December 2021,
Verwerkingskaas,2022,Januari 2022,
Verwerkingskaas,2022,Februari 2022,
Verwerkingskaas,2022,Maart 2022,
Verwerkingskaas,2022,April 2022,
Verwerkingskaas,2022,Mei 2022,
Verwerkingskaas,2022,Juni 2022,
Verwerkingskaas,2022,Juli 2022,
Verwerkingskaas,2022,Augustus 2022,
Verwerkingskaas,2022,September 2022,
Verwerkingskaas,2022,Oktober 2022,
Verwerkingskaas,2022,November 2022,
Verwerkingskaas,2022,December 2022,
Niet geaffineerde kazen: melkerij,2021,December 2021,
Niet geaffineerde kazen: melkerij,2022,Januari 2022,
Niet geaffineerde kazen: melkerij,2022,Februari 2022,
Niet geaffineerde kazen: melkerij,2022,Maart 2022,
Niet geaffineerde kazen: melkerij,2022,April 2022,
Niet geaffineerde kazen: melkerij,2022,Mei 2022,
Niet geaffineerde kazen: melkerij,2022,Juni 2022,
Niet geaffineerde kazen: melkerij,2022,Juli 2022,
Niet geaffineerde kazen: melkerij,2022,Augustus 2022,
Niet geaffineerde kazen: melkerij,2022,September 2022,
Niet geaffineerde kazen: melkerij,2022,Oktober 2022,
Niet geaffineerde kazen: melkerij,2022,November 2022,
Niet geaffineerde kazen: melkerij,2022,December 2022,
Niet geaffineerde kazen: hoevekaas,2021,December 2021,
Niet geaffineerde kazen: hoevekaas,2022,Januari 2022,
Niet geaffineerde kazen: hoevekaas,2022,Februari 2022,
Niet geaffineerde kazen: hoevekaas,2022,Maart 2022,
Niet geaffineerde kazen: hoevekaas,2022,April 2022,
Niet geaffineerde kazen: hoevekaas,2022,Mei 2022,
Niet geaffineerde kazen: hoevekaas,2022,Juni 2022,
Niet geaffineerde kazen: hoevekaas,2022,Juli 2022,
Niet geaffineerde kazen: hoevekaas,2022,Augustus 2022,
Niet geaffineerde kazen: hoevekaas,2022,September 2022,
Niet geaffineerde kazen: hoevekaas,2022,Oktober 2022,
Niet geaffineerde kazen: hoevekaas,2022,November 2022,
Niet geaffineerde kazen: hoevekaas,2022,December 2022,
Caseïne en caseïnaten,2021,December 2021,
Caseïne en caseïnaten,2022,Januari 2022,
Caseïne en caseïnaten,2022,Februari 2022,
Caseïne en caseïnaten,2022,Maart 2022,
Caseïne en caseïnaten,2022,April 2022,
Caseïne en caseïnaten,2022,Mei 2022,
Caseïne en caseïnaten,2022,Juni 2022,
Caseïne en caseïnaten,2022,Juli 2022,
Caseïne en caseïnaten,2022,Augustus 2022,
Caseïne en caseïnaten,2022,September 2022,
Caseïne en caseïnaten,2022,Oktober 2022,
Caseïne en caseïnaten,2022,November 2022,
Caseïne en caseïnaten,2022,December 2022,
Andere melkproducten,2021,December 2021,
Andere melkproducten,2022,Januari 2022,1350.0
Andere melkproducten,2022,Februari 2022,500.0
Andere melkproducten,2022,Maart 2022,270.0
Andere melkproducten,2022,April 2022,4600.0
Andere melkproducten,2022,Mei 2022,200.0
Andere melkproducten,2022,Juni 2022,140.0
Andere melkproducten,2022,Juli 2022,240.0
Andere melkproducten,2022,Augustus 2022,180.0
Andere melkproducten,2022,September 2022,230.0
Andere melkproducten,2022,Oktober 2022,650.0
Andere melkproducten,2022,November 2022,2055.0
Andere melkproducten,2022,December 2022,1545.0
