Alle economische activiteiten,Sectie,Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Banenverlies van loontrekkende werkgevers,Totaal banenverlies
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Mei 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Juni 2022,0.0,0.0,1.0,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Juli 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Augustus 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,September 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Oktober 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,November 2022,0.0,0.0,2.0,2.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,December 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2023,Januari 2023,0.0,0.0,1.0,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2023,Februari 2023,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2023,Maart 2023,,,,
Alle economische activiteiten,,2022,Maart 2022,928.0,341.0,1043.0,2312.0
Alle economische activiteiten,,2022,April 2022,614.0,233.0,709.0,1556.0
Alle economische activiteiten,,2022,Mei 2022,517.0,312.0,1063.0,1892.0
Alle economische activiteiten,,2022,Juni 2022,685.0,396.0,1237.0,2318.0
